Comments,PublishedAt,Author,Like_Counts,Reply_Comments
Tamil💥💝💝💝 version better than telugu🔥🔥🔥💯💯💯,2024-05-31T16:04:42Z,@NRKDA,1,0
Simple ha step potu mudichutanga,2024-05-31T15:58:41Z,@vinoddq7592,0,0
சிம்பிலி வேஸ்ட்,2024-05-31T15:56:54Z,@deepandeepan1827,1,0
Padam vetri pera vazhthukal team ❤️,2024-05-31T15:54:06Z,@dineshnagaraja_Chozhan,0,0
Dsp super,2024-05-31T15:47:28Z,@padmapriyapriya2793,0,0
❤❤❤❤❤❤❤,2024-05-31T15:31:41Z,@KLatha-up1mk,0,0
Shreya Ghoshal voice ❤,2024-05-31T15:24:07Z,@Professionaldancers07,30,0
See a local movie plus this song is trash because she needs be like middle class girl or traditional girl she is wearing a crop top how is going to match the movie 😂😅🤔🤔,2024-05-31T15:00:12Z,@Deepikas_history2012,0,0
My allu darling ache intha step la melathan paparuu but mams oda look vera level sound ha pakararu nala romantic ha iruku😂❤❤,2024-05-31T14:58:25Z,@monikakrish24,0,0
தாஜ்மஹால் பாட்டு போலிருக்கு,2024-05-31T14:45:29Z,@ashokpattukkottai8799,1,0
🖤,2024-05-31T14:27:50Z,@wasifharoon6195,0,0
Tamil or hindi version..... ufff shreya❤❤,2024-05-31T14:23:31Z,@pragyansaikia2869,1,0
Song failure 😂,2024-05-31T14:12:04Z,@muruganandhama9291,1,0
Taj Mahal movie song usurulla oruthiku Taj Mahal kadi koduthavanu nathanae,2024-05-31T14:00:27Z,@sathyamathan2692,0,0
Ada kanraveeyaaa  Enna song da ethu🤮🤢🤢🤕🤧,2024-05-31T13:26:40Z,@k.dhanasekar22,4,0
We want Shreya ghoshal's  making at studio vedio song,2024-05-31T13:16:28Z,@chethanhschathu6882,4,0
Muje samjh to Kuch nhi aaya😂 per song mast h ❤,2024-05-31T12:23:06Z,@TERAJIJA-yj6md,1,0
Shreya voice mesmerized ❤,2024-05-31T11:55:44Z,@SweetyAngel3103,2,0
Allu army ❤❤❤,2024-05-31T11:54:10Z,@Meme.of.today.,1,0
Shreya magical voice ❤️😘,2024-05-31T10:20:08Z,@anoopsk2131,3,0
Smart 🤓,2024-05-31T08:52:05Z,@RajasekarStanislaus6886,0,0
Trending No.2 🔥🔥🔥,2024-05-31T08:37:36Z,@Dp-wb4bm,3,0
"I learned something new today, if we double tap on a comment, it likes the comment 😄",2024-05-31T08:36:04Z,@Dp-wb4bm,217,4
Shreya ghoshal come back❤❤❤❤❤🎉,2024-05-31T08:25:47Z,@RajaRaja-xu2xq,14,1
Vaaipilla Raja vai pillaa,2024-05-31T07:15:06Z,@arunsuryam4021,1,0
"Hitlist Movie Review, Hitlist Review #hitlist #review
https://www.youtube.com/watch?v=yEoQE1pwWGg",2024-05-31T06:53:24Z,@PraveenaHarikrishnan,0,0
Nice song❤❤❤,2024-05-31T06:41:30Z,@Glowing_rainbow896,0,0
எவன்டா எழுதிக் கொடுத்தான் லிரிக்ஸ் 😂😂😂😂,2024-05-31T06:07:23Z,@bala2626,47,1
